project,sample,site,revisit,revisitid,g_hair,u_hair,type,barb,hair_colour,site_id,site_number,site_type,season,revisit_date,revisit_crew,site_name.x,utme,utmn,utm_zone,individual,sex,species,year,Treatment
nt,43020,at15,11,2019at1511,lots,lots,both,a2,br,2019at15,at15,passive,fall,10/22/2019,"kf, as, km",camp creek,301453,5810381,10,40119,female,grizzly,2019,Landbased
nt,43021,at23,11,2019at2311,lots,lots,both,a10,bl,2019at23,at23,passive,fall,10/22/2019,"kf, as, km",kettle confluence,701627,5805155,9,49914,female,grizzly,2019,Landbased
nt,43022,at23,11,2019at2311,lots,lots,both,a11,mixed,2019at23,at23,passive,fall,10/22/2019,"kf, as, km",kettle confluence,701627,5805155,9,49914,female,grizzly,2019,Landbased
nt,43025,at16,11,2019at1611,10-Apr,>10,both,c10,br,2019at16,at16,passive,fall,10/22/2019,"kf, as, km",lost hat,300787,5810425,10,40051,male,grizzly,2019,Landbased
nt,43089,at01,3,2019at0103,>10,lots,both,a11,br,2019at01,at01,passive,summer,08/18/2019,"kf, as",stillwater forest,311025,5803339,10,43089,male,grizzly,2019,Reference
nt,43104,at07,3,2019at0703,10-Apr,10-Apr,both,a16,br,2019at07,at07,passive,summer,08/17/2019,"as, km",talus slide,308326,5808239,10,36879,female,grizzly,2019,Reference
nt,43262,at20,5,2019at2005,>10,>10,both,a18,mixed,2019at20,at20,passive,summer,08/28/2019,"as, km",fish bone,297417,5807661,10,41396,female,grizzly,2019,Landbased
nt,43312,at21,5,2019at2105,10-Apr,10-Apr,both,b23,br,2019at21,at21,passive,summer,08/28/2019,"as, km",cub cry,296573,5806559,10,43312,female,grizzly,2019,Landbased
nt,43314,at10,4,2019at1004,10-Apr,10-Apr,both,8,br,2019at10,at10,passive,summer,08/24/2019,"ch,kf,km",billy's cabin,306611,5809269,10,40051,male,grizzly,2019,Landbased
nt,43316,at03,3,2019at0303,10-Apr,>10,both,a25,br,2019at03,at03,passive,summer,08/18/2019,"kf, as",hotnarko mouth,310595,5804687,10,36879,female,grizzly,2019,Reference
