"","X","year","date","yearweek_ID","site_num","site_name","session_start_time","session_end_time","timestamp_focal.bhv.change","start_time_of_focal","length","file_id","focalbear_event","bear_name","sex","age","agesex","family","yrl_num","coy_num","num_offspring","coarse_code","fine_code","snorkel","carry_to_cover","video_time_behave_change","duration_of_behave","duration_in_seconds","start_time_within_the_minute","total_length_within_focalevent","sexing_comments"
"27",27,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:38:00","8:37:00","0:06:37","B0403-F3","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,30,31,"","","0:01:56","0:00:01",1,NA,1150,NA
"28",28,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:38:00","8:37:00","0:06:37","B0403-F3","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,10,11,"","","0:05:09","0:03:13",193,NA,1150,NA
"29",29,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:42:00","8:37:00","0:06:37","B0403-F3","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,0,0,"","","0:06:37","0:01:28",88,NA,1150,NA
"30",30,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:45:00","8:45:50","0:01:23","B0403-F4","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,10,11,"","","0:00:22","0:00:22",22,NA,1150,NA
"31",31,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:46:00","8:45:50","0:01:23","B0403-F4","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,30,32,"","","0:00:24","0:00:02",2,NA,1150,NA
"32",32,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:46:00","8:45:50","0:01:23","B0403-F4","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,0,0,"","","0:00:25","0:00:01",1,NA,1150,NA
"33",33,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:46:00","8:45:50","0:01:23","B0403-F4","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,10,11,"","","0:00:27","0:00:02",2,NA,1150,NA
"34",34,2019,"2019-08-20",201934,"B04","BELARKO","6:00:00","9:12:00","2019-08-20 08:46:00","8:45:50","0:01:23","B0403-F4","2019_B0403_FCL2","NanMcSnugsandThreeTerrors","FWY","ADULT","Female with young","Y",3,0,3,0,0,"","","0:01:23","0:00:56",56,NA,1150,NA
"35",35,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:11:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,0,0,"","","0:00:34","0:00:34",34,NA,667,NA
"36",36,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:11:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,10,11,"","","0:00:36","0:00:02",2,NA,667,NA
"37",37,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:11:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,30,31,"","","0:00:38","0:00:02",2,NA,667,NA
"38",38,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:11:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,10,11,"","","0:00:47","0:00:09",9,NA,667,NA
"39",39,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:11:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,30,32,"","","0:01:32","0:00:45",45,NA,667,NA
"40",40,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:12:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,10,11,"","","0:01:36","0:00:04",4,NA,667,NA
"41",41,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:12:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,30,31,"","","0:01:37","0:00:01",1,NA,667,NA
"42",42,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:12:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,10,11,"","","0:01:58","0:00:21",21,NA,667,NA
"43",43,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:12:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,40,41,"","","0:03:33","0:01:35",95,NA,667,NA
"44",44,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:14:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,10,11,"","","0:03:37","0:00:04",4,NA,667,NA
"45",45,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:14:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,30,31,"","","0:03:40","0:00:03",3,NA,667,NA
"46",46,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:14:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,40,41,"","","0:03:59","0:00:19",19,NA,667,NA
"47",47,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:14:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,30,31,"","","0:04:09","0:00:10",10,NA,667,NA
"48",48,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:15:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,40,41,"","","0:04:56","0:00:47",47,NA,667,NA
"49",49,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:15:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,30,31,"","","0:04:57","0:00:01",1,NA,667,NA
"50",50,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:15:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,10,11,"","","0:05:07","0:00:10",10,NA,667,NA
"51",51,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:16:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,30,31,"","","0:05:08","0:00:01",1,NA,667,NA
"52",52,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:16:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,10,11,"","","0:05:19","0:00:11",11,NA,667,NA
"53",53,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:16:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,30,31,"","","0:05:24","0:00:05",5,NA,667,NA
"54",54,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:16:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,10,11,"","","0:05:34","0:00:10",10,NA,667,NA
"55",55,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:16:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,0,0,"","","0:05:39","0:00:05",5,NA,667,NA
"56",56,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:16:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,10,11,"","","0:05:51","0:00:12",12,NA,667,NA
